ID_FATTURA;Data;ID_CLIENTE;TIPO;NR;ID_COMMESSA;Fatturato_gg;Fatturato_Spese;Fatturato_TOT;Note;Riferimento_Ordine;Data_Ordine;Tempi_Pagamento;Scadenza_Pagamento;Data_Pagamento;Valore_Pagato;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
FATT000001;2025-01-31;CLI0006;Fattura;25_001;COM0003;1550,00;250,00;1800,00;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova.";;;30;2025-03-02;;;;;;
FATT000002;2024-12-23;CLI0006;Fattura;24_001;COM0003;1838,00;;1838,00;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova.";;;30;2025-01-22;2025-02-20;;;;;
FATT000003;2024-12-23;CLI0005;Fattura;24_002;COM0002;725,00;;725,00;;;;;2024-12-23;2025-02-27;;;;;
FATT000004;2024-12-23;CLI0007;Fattura;24_003;COM0004;1730,00;;1730,00;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena.";;;30;2025-01-22;2025-01-31;;;;;
FATT000005;2024-12-23;CLI0003;Fattura;24_004;COM0001;3987,00;;3987,00;"Attivit� di consulenza svolta da Alessandro Vaglio come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Giorgio Bevilacqua come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Stefano Colombo come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Coordinamento (10% attivit� svolta)";;;;2024-12-23;2025-01-24;;;;;
FATT000006;2024-12-31;CLI0016;Fattura;24_005;COM0005;5425,00;;5425,00;;;;;2024-12-31;;;;;;
FATT000007;2025-01-31;CLI0007;Fattura;25_002;COM0004;1550,00;250,00;1800,00;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena.";;;30;2025-03-02;;;;;;
FATT000008;2025-01-31;CLI0005;Fattura;25_004;COM0002;725,00;90,00;815,00;"Attivit� di consulenza svolta da Giorgio Troni come da nostra 
offerta del 26/07/24.";;;;2025-01-31;;;;;;
FATT000009;2025-01-31;CLI0003;Fattura;25_003;COM0001;5637,00;;5637,00;"Attivit� di consulenza svolta da Alessandro Vaglio come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Giorgio Bevilacqua come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Stefano Colombo come da 
Vostro ordine n. 7130017952 del 27/09/2024. 
Coordinamento (10% attivit� svolta)";"n. 7130017952";2024-09-27;;2025-01-31;;;;;;
FATT000010;2025-02-28;CLI0007;Fattura;25_005;COM0004;775,00;90,00;865,00;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena.";;;30;2025-03-30;;;;;;
FATT000011;2025-02-28;CLI0006;Fattura;25_006;COM0003;1550,00;250,00;1800,00;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova.";;;30;2025-03-30;;;;;;
FATT000012;2025-02-28;CLI0003;Fattura;25_007;COM0001;17710,00;;17710,00;"Attivit� di consulenza svolta da Alessandro Vaglio come 
da Vostro ordine n. 7130017952 del 27/09/2024. 
 
Attivit� di consulenza svolta da Giorgio Bevilacqua 
come da Vostro ordine n. 7130017952 del 27/09/2024. 
 
Attivit� di consulenza svolta da Stefano Colombo come 
da Vostro ordine n. 7130017952 del 27/09/2024. 
 
Coordinamento (10% attivit� svolta)";"n. 7130017952";2024-09-27;;2025-02-28;;;;;;
FATT000013;2025-03-31;CLI0011;Fattura;25_008;COM0010;6200,00;;6200,00;"Attivit� di coaching individuale Bertagni come da Vostro 
ordine 4511977261 del 04/02/25.";"n. 4511977261";2025-02-04;;2025-03-31;;;;;;
FATT000014;2025-03-31;CLI0009;Fattura;25_009;COM0009;22320,00;;22320,00;"Attivit� di Leading the future 1 come da Vostro ordine 
4511977300 del 04/02/25.";"n. 4511977300";2025-02-04;;2025-03-31;;;;;;
FATT000015;2025-03-31;CLI0003;Fattura;25_010;COM0001;8827,00;;8827,00;"Attivit� di consulenza svolta da Alessandro Vaglio come 
da Vostro ordine n. 7130017952 del 27/09/2024. 
 
Attivit� di consulenza svolta da Giorgio Bevilacqua 
come da Vostro ordine n. 7130017952 del 27/09/2024. 
 
Attivit� di consulenza svolta da Stefano Colombo come 
da Vostro ordine n. 7130017952 del 27/09/2024. 
 
Coordinamento (10% attivit� svolta)";"n. 7130017952";2024-09-27;;2025-03-31;;;;;;
FATT000016;2025-03-31;CLI0007;Fattura;25_011;COM0004;1550,00;90,00;1640,00;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena.";;;30;2025-04-30;;;;;;
FATT000017;2025-03-31;CLI0006;Fattura;25_012;COM0003;1550,00;290,00;1840,00;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova.";;;30;2025-04-30;;;;;;
FATT000018;2025-03-31;CLI0013;Fattura;25_013;COM0007;11550,00;1000,00;12550,00;"Attivit� di formazione Team Naturale come va Vs ordine 
1020201558 del 13/03/25.";"n. 1020201558";2025-03-13;30;2025-04-30;;;;;;
FATT000019;2025-04-30;CLI0003;Fattura;25_014;COM0001;3300,00;;3300,00;"Attivit� di consulenza svolta da Alessandro Vaglio come 
da Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Stefano Colombo come 
da Vostro ordine n. 7130017952 del 27/09/2024.";"n. 7130017952";2024-09-27;30;2025-05-30;;;;;;
FATT000020;2025-04-30;CLI0007;Fattura;25_015;COM0004;1550,00;90,00;1640,00;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena.";;;30;2025-05-30;;;;;;
FATT000021;2025-04-30;CLI0006;Fattura;25_016;COM0003;1550,00;279,50;1829,00;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova.";;;30;2025-05-30;;;;;;
FATT000022;2025-05-31;CLI0013;Fattura;25_017;COM0006;21450,00;;21450,00;"Attivit� di supporto consulenziale come da vs ordine   
1020203362.";"n. 1020203362";;30;2025-06-30;;;;;;
FATT000023;2025-05-31;CLI0003;Fattura;25_018;COM0001;4840,00;;4840,00;"Attivit� di consulenza svolta da Alessandro Vaglio come 
da Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Giorgio Bevilacqua 
come da Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Stefano Colombo come 
da Vostro ordine n. 7130017952 del 27/09/2024. 
Coordinamento (10% attivit� svolta)";"n. 7130017952";2024-09-27;30;2025-06-30;;;;;;
FATT000024;2025-05-31;CLI0009;Fattura;25_019;COM0009;16740,00;;16740,00;"Attivit� di Leading the future 2 come da Vostro ordine 
4511977300 del 04/02/25.";"n. 4511977300";2025-02-04;60;2025-07-30;;;;;;
FATT000025;2025-05-31;CLI0013;Fattura;25_020;COM0011;9832,00;;9832,00;"Attivit� di Coaching individuale  come da nostra offerta 
del 17/04/25.";;2025-04-17;60;2025-07-30;;;;;;
FATT000026;2025-05-31;CLI0010;Nota_Accredito;25_021;COM0011;-9832,00;;-9832,00;"Nota di credito a storno totale nostra fattura n. 20 del 
31/05/25 per errata fatturazione.";;2025-04-17;60;2025-07-30;;;;;;
FATT000027;2025-05-31;CLI0010;Fattura;25_022;COM0011;9832,00;;9832,00;"Attivit� di Coaching individuale come da Vostro ordine 
n. 4512037132.";"n. 4512037132";;60;2025-07-30;;;;;;
FATT000028;2025-06-30;CLI0006;Fattura;25_024;COM0003;1550,00;250,00;1800,00;"Attivit� di supporto consulenziale c/o il Vostro 
stabilimento di Mantova. 
Viaggio a/r";;;30;2025-07-30;;;;;;
FATT000029;2025-06-30;CLI0007;Fattura;25_023;COM0004;1550,00;137,00;1687,00;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena. 
Viaggio a/r  
Spese";;;30;2025-07-30;;;;;;
FATT000030;2025-06-30;CLI0014;Fattura;25_025;COM0014;7920,00;140,00;8060,00;"Attivit� di analisi culturale come da nostra offerta del 11   
dicembre 2024  (come  da accordi c/Vs Sirio Pari). 
Viaggio a/r  
Coordinamento (10%)";;2024-12-31;30;2025-07-30;;;;;;
FATT000031;2025-06-30;CLI0003;Fattura;25_026;COM0001;4785,00;;4785,00;"Attivit� di consulenza svolta da Giorgio Bevilacqua come da Vostro ordine n. 7130017952 del 27/09/2024.  
Attivit� di consulenza svolta da Stefano Colombo come 
da Vostro ordine n. 7130017952 del 27/09/2024. 
Coordinamento (10% attivit� svolta)";"n. 7130017952";2024-09-27;30;2025-07-30;;;;;;
FATT000032;2025-07-30;CLI0007;Fattura;25_027;COM0004;1550,00;250,00;1800,00;"Attivit� di supporto consulenziale c/o il Vostro stabilimento 
di Modena. 
Viaggio a/r";;;30;2025-08-29;;;;;;
FATT000033;2025-07-29;CLI0014;Fattura;25_028;COM0014;7040,00;140,00;7180,00;"Attivit� di formazione relativa al ?Piano  formazione 2025 ? 
ID 438026 . 
Viaggio a/r  
Coordinamento (10%)";"n. 438026";;30;2025-08-28;;;;;;
FATT000034;2025-07-30;CLI0003;Fattura;25_029;COM0001;5692,00;;5692,00;"Attivit� di consulenza svolta da Alessandro Vaglio come 
da Vostro ordine n. 7130017952 del 27/09/2024. 
Attivit� di consulenza svolta da Giorgio Bevilacqua 
come da Vostro ordine n. 7130017952 del 27/09/2024. 
Coordinamento (10% attivit� svolta)";"n. 7130017952";2024-09-27;30;2025-08-29;;;;;;
FATT000035;2025-07-30;CLI0012;Fattura;25_030;COM0012;14416,00;;14416,00;"Audit Culturale Reggio Emilia e Corteolona come da 
Vostro ordine n. 4512064618.";"n. 4512064618";;60;2025-09-28;;;;;;
FATT000036;2025-07-30;CLI0013;Fattura;25_031;COM0008;4125,00;;4125,00;"Attivit� di Audit Culturale Direzione HSEE come da Vs. 
ordine n. 1020205239.";"n. 1020205239";;30;2025-08-29;;;;;;
FATT000037;2025-07-31;CLI0017;Fattura;25_032;COM0015;12800,00;290,00;13090,00;"Attivit� di Project Ceres Assessment della 
manutenzione e dell?Engineering. 
Viaggio a/r  
Park";;;30;2025-08-30;;;;;;
