ID_TARIFFA;ID_COLLABORATORE;ID_COMMESSA;Tariffa_gg;Spese_comprese;Dal;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
TAR00001;CONS001;;1100,00;No;2024-12-01;;;;
TAR00002;CONS002;COM0001;850,00;No;2024-12-01;;;;SYSTEM
TAR00003;CONS003;;1000,00;No;2024-12-01;;;;SYSTEM
TAR00004;CONS004;COM0007;1050,00;Si;2025-02-01;;;;
TAR00005;CONS004;;900,00;No;2024-12-01;;;;
TAR00006;CONS006;;0,00;Si;2024-12-01;;;;
TAR00007;CONS005;;800,00;No;2025-08-01;;;;SYSTEM
TAR00008;CONS002;;800,00;Si;2024-12-01;;SYSTEM;;SYSTEM
TAR00009;CONS009;;900,00;No;2025-10-01;"2025-10-12 10:22:02";SYSTEM;"2025-10-12 10:23:05";SYSTEM
TAR00010;CONS009;COM0001;1075,00;No;2025-10-01;"2025-10-12 10:23:41";SYSTEM;"2025-10-12 10:23:41";
